[2021-04-01 22:46:33 629897]	thread id:3509458160 start...
[2021-04-01 22:46:33 629959]	MediaLib V1.0.0.23 2017-12-5 12:00
[2021-04-01 22:46:33 631108]	call type :0
[2021-04-01 22:46:33 631348]	thread id:3508401392 start...
[2021-04-01 22:46:33 631508]	thread id:3507344624 start...
[2021-04-01 22:46:33 631650]	thread id:3506287856 start...
[2021-04-01 22:46:33 632013]	thread id:3502028016 start...
[2021-04-01 22:46:33 632029]	MediaEngine cleanthread init...
[2021-04-01 22:46:33 632055]	SetVoiceProperties: 0x73f104216c

[2021-04-01 22:46:33 632531]	CMediaObjectCleanThread enter...
[2021-04-01 22:46:33 655933]	send login type:0 message 281476982637068-5281 port:3567 address:128.14.232.80
[2021-04-01 22:46:33 656117]	send login type:0 message 281476982637068-5281 port:3567 address:107.155.55.89
[2021-04-01 22:46:33 656411]	send login type:0 message 281476982637068-5281 port:4879 address:107.155.55.86
[2021-04-01 22:46:33 671357]	audio device init 
[2021-04-01 22:46:33 698014]	AudioBlockPlayer init:16000 640
[2021-04-01 22:46:33 805361]	start audiotrack_jni rc:0
[2021-04-01 22:46:33 805757]	Dev_SDelay:88 SEDelay:80
[2021-04-01 22:46:33 805779]	jitter buffer ts:80 ms:960
[2021-04-01 22:46:33 805989]	use high aec processser
[2021-04-01 22:46:33 806908]	Audio encoding FEC m_pAudioEncFEC :0x73f104216c, disable:0
[2021-04-01 22:46:33 808045]	FLYING recType = 4

[2021-04-01 22:46:34 005159]	AudioRecord init 16000 640
[2021-04-01 22:46:34 008685]	thread id:3680449776 start...
[2021-04-01 22:46:34 102536]	init refbuffer 73
[2021-04-01 22:46:34 572680]	Login call succ... 938 connect addr:107.155.55.89
[2021-04-01 22:46:34 572643]	Login call succ... 937 connect addr:107.155.55.86
[2021-04-01 22:46:34 572955]	NetConAnalyze count:1 b:0 time:0
[2021-04-01 22:46:34 573006]	set user type:0
[2021-04-01 22:46:34 573023]	connect event connect:2
[2021-04-01 22:46:34 573071]	Login call succ... 938 connect addr:128.14.232.80
[2021-04-01 22:46:34 573145]	NetConAnalyze count:3 b:1 time:0
[2021-04-01 22:46:34 634143]	timer event
[2021-04-01 22:46:34 634175]	net use:0 min:927
[2021-04-01 22:46:34 654958]	send open channel message 281476982637068-5281 port:4879 address:107.155.55.86
[2021-04-01 22:46:35 079363]	audio record stop...
[2021-04-01 22:46:35 182852]	audio record stop succ...
[2021-04-01 22:46:35 182895]	stop udp socket...
[2021-04-01 22:46:35 602029]	client read open channel ack succ! addr:107.155.55.86
[2021-04-01 22:46:35 634428]	CMediaObjectCleanThread quit...
[2021-04-01 22:46:35 634698]	MediaEngine cleanthread clean...
[2021-04-01 22:46:35 635036]	send close channel addr:107.155.55.86
[2021-04-01 22:46:35 635137]	send close channel addr:107.155.55.89
[2021-04-01 22:46:35 635267]	send close channel addr:128.14.232.80
[2021-04-01 22:46:36 175621]	udp 8198 thread terminated
[2021-04-01 22:46:36 175648]	udp 5671 thread terminated
[2021-04-01 22:46:36 175701]	udp 8198 thread exit
[2021-04-01 22:46:36 175704]	udp 5671 thread exit
[2021-04-01 22:46:36 405775]	udp 4787 thread terminated
[2021-04-01 22:46:36 405813]	udp 4787 thread exit
[2021-04-01 22:46:36 406181]	Stop Socket Finally...
[2021-04-01 22:46:36 407501]	Stop Socket Finally...
[2021-04-01 22:46:36 408802]	Stop Socket Finally...
[2021-04-01 22:46:36 408822]	Clean MediaClient ok 
[2021-04-01 22:46:36 408837]	voice engine close play out...
[2021-04-01 22:46:36 455154]	voice engine close play out end...
[2021-04-01 22:46:36 466194]	audio device cleanup 
[2021-04-01 22:46:36 466239]	destroy net reader
[2021-04-01 22:46:36 466252]	delete net manager :3
[2021-04-01 22:46:36 466389]	MediaLib Clean
[2021-04-01 22:46:45 515132]	thread id:3716150512 start...
[2021-04-01 22:46:45 515145]	MediaLib V1.0.0.23 2017-12-5 12:00
[2021-04-01 22:46:45 515221]	call type :0
[2021-04-01 22:46:45 515305]	thread id:3708736752 start...
[2021-04-01 22:46:45 515375]	thread id:3707679984 start...
[2021-04-01 22:46:45 515445]	thread id:3704444144 start...
[2021-04-01 22:46:45 515571]	thread id:3703387376 start...
[2021-04-01 22:46:45 515578]	MediaEngine cleanthread init...
[2021-04-01 22:46:45 515585]	SetVoiceProperties: 0x73f104216c

[2021-04-01 22:46:45 515827]	CMediaObjectCleanThread enter...
[2021-04-01 22:46:45 516053]	audio device init 
[2021-04-01 22:46:45 537491]	send login type:0 message 281483681988807-4773 port:6578 address:107.155.55.86
[2021-04-01 22:46:45 537577]	send login type:0 message 281483681988807-4773 port:2197 address:23.248.174.222
[2021-04-01 22:46:45 537671]	send login type:0 message 281483681988807-4773 port:2197 address:128.14.232.80
[2021-04-01 22:46:45 542474]	AudioBlockPlayer init:16000 640
[2021-04-01 22:46:45 545802]	start audiotrack_jni rc:0
[2021-04-01 22:46:45 546453]	Dev_SDelay:88 SEDelay:80
[2021-04-01 22:46:45 546481]	jitter buffer ts:80 ms:960
[2021-04-01 22:46:45 546581]	use high aec processser
[2021-04-01 22:46:45 547019]	Audio encoding FEC m_pAudioEncFEC :0x73f104216c, disable:0
[2021-04-01 22:46:45 547459]	FLYING recType = 4

[2021-04-01 22:46:45 603601]	AudioRecord init 16000 640
[2021-04-01 22:46:45 603809]	thread id:3673134320 start...
[2021-04-01 22:46:45 696995]	init refbuffer 64
[2021-04-01 22:46:45 748002]	Login call succ... 231 connect addr:107.155.55.86
[2021-04-01 22:46:45 748230]	NetConAnalyze count:1 b:0 time:0
[2021-04-01 22:46:45 748679]	Login call succ... 232 connect addr:128.14.232.80
[2021-04-01 22:46:45 748794]	set user type:0
[2021-04-01 22:46:45 748808]	connect event connect:2
[2021-04-01 22:46:45 748851]	Login call succ... 222 connect addr:23.248.174.222
[2021-04-01 22:46:45 748924]	NetConAnalyze count:3 b:1 time:1
[2021-04-01 22:46:46 476146]	packet list size:5
[2021-04-01 22:46:46 516824]	timer event
[2021-04-01 22:46:46 516904]	net use:0 min:221
[2021-04-01 22:46:46 538807]	send open channel message 281483681988807-4773 port:6578 address:107.155.55.86
[2021-04-01 22:46:46 700032]	client read open channel ack succ! addr:107.155.55.86
[2021-04-01 22:46:46 701761]	receive audio timestamp: 7099
[2021-04-01 22:46:46 703529]	add new audio userid:4772 userdata:32
[2021-04-01 22:46:46 703558]	create voice channel id:4772 SSRC:4246801412 SUCC
[2021-04-01 22:46:46 703658]	receive audio timestamp: 7079
[2021-04-01 22:46:46 703807]	receive audio timestamp: 7119
[2021-04-01 22:46:46 703869]	receive audio timestamp: 7139
[2021-04-01 22:46:46 703915]	receive audio timestamp: 7159
[2021-04-01 22:46:46 703970]	receive audio timestamp: 7179
[2021-04-01 22:46:46 720154]	audio Render timestamp: 7099 7099
[2021-04-01 22:46:46 720206]	audio Render timestamp: 7119 20
[2021-04-01 22:46:46 720221]	audio Render timestamp: 7139 20
[2021-04-01 22:46:46 727060]	audio Render timestamp: 7159 20
[2021-04-01 22:46:46 754202]	audio Render timestamp: 7179 20
[2021-04-01 22:46:46 851618]	receive audio timestamp: 7199
[2021-04-01 22:46:46 853666]	receive audio timestamp: 7259
[2021-04-01 22:46:46 853758]	receive audio timestamp: 7240
[2021-04-01 22:46:46 853808]	receive audio timestamp: 7219
[2021-04-01 22:46:46 853863]	receive audio timestamp: 7280
[2021-04-01 22:46:46 853909]	receive audio timestamp: 7299
[2021-04-01 22:46:46 854299]	receive audio timestamp: 7319
[2021-04-01 22:46:46 854361]	receive audio timestamp: 7219
[2021-04-01 22:46:46 854407]	receive audio timestamp: 7240
[2021-04-01 22:46:46 854486]	receive audio timestamp: 7339
[2021-04-01 22:46:46 876472]	audio Render timestamp: 7259 80
[2021-04-01 22:46:46 889730]	audio Render timestamp: 7280 21
[2021-04-01 22:46:46 916790]	audio Render timestamp: 7299 19
[2021-04-01 22:46:46 930707]	audio Render timestamp: 7319 20
[2021-04-01 22:46:46 957535]	audio Render timestamp: 7339 20
[2021-04-01 22:46:47 012715]	receive audio timestamp: 7399
[2021-04-01 22:46:47 013359]	receive audio timestamp: 7360
[2021-04-01 22:46:47 013438]	receive audio timestamp: 7381
[2021-04-01 22:46:47 013499]	receive audio timestamp: 7419
[2021-04-01 22:46:47 013551]	receive audio timestamp: 7439
[2021-04-01 22:46:47 013596]	receive audio timestamp: 7459
[2021-04-01 22:46:47 013657]	receive audio timestamp: 7360
[2021-04-01 22:46:47 013704]	receive audio timestamp: 7479
[2021-04-01 22:46:47 077364]	receive audio timestamp: 7519
[2021-04-01 22:46:47 077573]	receive audio timestamp: 7539
[2021-04-01 22:46:47 077622]	receive audio timestamp: 7559
[2021-04-01 22:46:47 077693]	receive audio timestamp: 7499
[2021-04-01 22:46:47 088526]	receive audio timestamp: 7579
[2021-04-01 22:46:47 126554]	receive audio timestamp: 7599
[2021-04-01 22:46:47 126633]	receive audio timestamp: 7619
[2021-04-01 22:46:47 129927]	receive audio timestamp: 7499
[2021-04-01 22:46:47 130230]	receive audio timestamp: 7519
[2021-04-01 22:46:47 130560]	receive audio timestamp: 7539
[2021-04-01 22:46:47 135611]	receive audio timestamp: 7499
[2021-04-01 22:46:47 141295]	receive audio timestamp: 7639
